time,theta1,theta2,omega1,omega2,current,voltage
2.22618,11.3791,0,7.59292,0,-2.7534e-64,1
2.24211,11.5003,0,7.62674,0,-2.74251e-64,1
2.25837,11.6306,0,7.65025,0,-2.72075e-64,1
2.27437,11.7518,0,7.65834,0,-2.67722e-64,1
2.29062,11.8745,0,7.6731,0,-2.6881e-64,1
2.30613,11.9896,0,7.6755,0,-2.96017e-64,1
2.32212,12.1138,0,7.69422,0,-2.6228e-64,1
2.33806,12.2366,0,7.71356,0,-2.64457e-64,1
2.3541,12.3608,0,7.7253,0,-2.52485e-64,1
2.36997,12.4851,0,7.7372,0,-2.53574e-64,1
2.38618,12.6078,0,7.75785,0,-2.53574e-64,1
2.40226,12.732,0,7.7756,0,-2.45956e-64,1
2.41793,12.8578,0,7.77355,0,-2.54662e-64,1
2.43363,12.9821,0,7.805,0,-2.47044e-64,1
2.44939,13.1063,0,7.80376,0,-2.44867e-64,1
2.46533,13.2244,0,7.83768,0,-2.44867e-64,1
2.48102,13.3502,0,7.83643,0,-2.38338e-64,1
2.4968,13.4776,0,7.85915,0,-2.40514e-64,1
2.51268,13.6033,0,7.87962,0,-2.44867e-64,1
2.5287,13.7291,0,7.89595,0,-2.37249e-64,1
2.54446,13.8549,0,7.89666,0,-2.36161e-64,1
2.56025,13.973,0,7.89934,0,-2.47044e-64,1
2.57614,14.1004,0,7.90995,0,-2.43779e-64,1
2.59216,14.2261,0,7.91661,0,-2.38338e-64,1
2.60825,14.3611,0,7.94309,0,-2.42691e-64,1
2.62448,14.4884,0,7.94023,0,-2.40514e-64,1
2.6401,14.6081,0,7.93952,0,-2.32896e-64,1
2.65628,14.7431,0,7.94594,0,-2.38338e-64,1
2.67209,14.8627,0,7.96686,0,-2.23101e-64,1
2.688,14.9901,0,7.98111,0,-2.43779e-64,1
2.70406,15.1174,0,7.9765,0,-2.36161e-64,1
2.71998,15.2447,0,7.99642,0,-2.25278e-64,1
2.73603,15.3736,0,8.0118,0,-2.35073e-64,1
2.75206,15.5024,0,8.01805,0,-2.29631e-64,1
2.76798,15.6297,0,8.04038,0,-2.31808e-64,1
2.78415,15.7663,0,8.03789,0,-2.26366e-64,1
2.80028,15.8951,0,8.06018,0,-2.30719e-64,1
2.81615,16.0163,0,8.05988,0,-2.29631e-64,1
2.83201,16.1451,0,8.07373,0,-2.25278e-64,1
2.84831,16.2755,0,8.13438,0,-2.47044e-64,1
2.86412,16.4044,0,8.09726,0,-2.28543e-64,1
2.87983,16.5348,0,8.10053,0,-2.25278e-64,1
2.89559,16.6636,0,8.13633,0,-2.19836e-64,1
2.91165,16.794,0,8.1272,0,-2.19836e-64,1
2.9277,16.9244,0,8.14218,0,-2.19836e-64,1
2.94364,17.0548,0,8.13663,0,-2.2419e-64,1
2.95974,17.1852,0,8.16279,0,-2.26366e-64,1
2.97576,17.3156,0,8.15044,0,-2.22013e-64,1
2.99154,17.446,0,8.16701,0,-2.18748e-64,1
3.00792,17.5779,0,8.17412,0,-2.14395e-64,1
3.02323,17.7083,0,8.1832,0,-2.40514e-64,1
3.03903,17.831,0,8.18184,0,-2.26366e-64,1
3.05516,17.9614,0,8.19656,0,-2.23101e-64,1
3.07113,18.0933,0,8.20859,0,-2.13307e-64,1
3.08674,18.2252,0,8.22295,0,-2.16572e-64,1
3.10246,18.3571,0,8.23368,0,-2.20925e-64,1
3.11819,18.4875,0,8.25908,0,-2.12218e-64,1
3.13423,18.6118,0,8.25769,0,-2.15483e-64,1
